Studiesector;Bedrijfssector;Aantal;Percentage
Gezondheidszorg, sociale dienstverlening en verzorging;Vervoer, opslag en communicatie;10;1.315789474
Gezondheidszorg, sociale dienstverlening en verzorging;Zakelijke dienstverlening;110;14.47368421
Horeca, toerisme, transport en logistiek;Financiele instellingen;10;8.333333333
Horeca, toerisme, transport en logistiek;Gezondheids- en welzijnszorg;10;8.333333333
Horeca, toerisme, transport en logistiek;Horeca;0;0
Horeca, toerisme, transport en logistiek;Landbouw, bosbouw, visserij;0;0
Horeca, toerisme, transport en logistiek;Milieu, cultuur, recreatie en overige dienstverlening;10;8.333333333
Horeca, toerisme, transport en logistiek;Nijverheid en energievoorziening;10;8.333333333
Horeca, toerisme, transport en logistiek;Onderwijs;10;8.333333333
Horeca, toerisme, transport en logistiek;Openbaar bestuur, overheidsdiensten;10;8.333333333
Horeca, toerisme, transport en logistiek;Reparatie van consumentenartikelen;10;8.333333333
Horeca, toerisme, transport en logistiek;Uitzendbureaus en uitleenbedrijven;10;8.333333333
Horeca, toerisme, transport en logistiek;Vervoer, opslag en communicatie;10;8.333333333
Horeca, toerisme, transport en logistiek;Zakelijke dienstverlening;30;25
Humaniora, sociale wetenschappen, communicatie en kunst;Financiele instellingen;180;0.035714286
Humaniora, sociale wetenschappen, communicatie en kunst;Gezondheids- en welzijnszorg;1170;0.232142857
Humaniora, sociale wetenschappen, communicatie en kunst;Horeca;20;0.003968254
Humaniora, sociale wetenschappen, communicatie en kunst;Landbouw, bosbouw, visserij;0;0
Humaniora, sociale wetenschappen, communicatie en kunst;Milieu, cultuur, recreatie en overige dienstverlening;460;0.091269841
Humaniora, sociale wetenschappen, communicatie en kunst;Nijverheid en energievoorziening;190;0.037698413
Humaniora, sociale wetenschappen, communicatie en kunst;Onderwijs;800;0.158730159
Humaniora, sociale wetenschappen, communicatie en kunst;Openbaar bestuur, overheidsdiensten;460;0.091269841
Humaniora, sociale wetenschappen, communicatie en kunst;Reparatie van consumentenartikelen;190;0.037698413
Humaniora, sociale wetenschappen, communicatie en kunst;Uitzendbureaus en uitleenbedrijven;390;0.077380952
Humaniora, sociale wetenschappen, communicatie en kunst;Vervoer, opslag en communicatie;110;0.021825397
Humaniora, sociale wetenschappen, communicatie en kunst;Zakelijke dienstverlening;1070;0.212301587
Juridisch, bestuurlijk, openbare orde en veiligheid;Financiele instellingen;230;9.126984127
Juridisch, bestuurlijk, openbare orde en veiligheid;Gezondheids- en welzijnszorg;50;1.984126984
Juridisch, bestuurlijk, openbare orde en veiligheid;Horeca;0;0
Juridisch, bestuurlijk, openbare orde en veiligheid;Landbouw, bosbouw, visserij;0;0
Juridisch, bestuurlijk, openbare orde en veiligheid;Milieu, cultuur, recreatie en overige dienstverlening;80;3.174603175
Juridisch, bestuurlijk, openbare orde en veiligheid;Nijverheid en energievoorziening;50;1.984126984
Juridisch, bestuurlijk, openbare orde en veiligheid;Onderwijs;110;4.365079365
Juridisch, bestuurlijk, openbare orde en veiligheid;Openbaar bestuur, overheidsdiensten;550;21.82539683
Juridisch, bestuurlijk, openbare orde en veiligheid;Reparatie van consumentenartikelen;40;1.587301587
Juridisch, bestuurlijk, openbare orde en veiligheid;Uitzendbureaus en uitleenbedrijven;130;5.158730159
Juridisch, bestuurlijk, openbare orde en veiligheid;Vervoer, opslag en communicatie;40;1.587301587
Juridisch, bestuurlijk, openbare orde en veiligheid;Zakelijke dienstverlening;1240;49.20634921
Leraren;Financiele instellingen;10;2.43902439
Leraren;Gezondheids- en welzijnszorg;10;2.43902439
Leraren;Horeca;0;0
Leraren;Landbouw, bosbouw, visserij;0;0
Leraren;Milieu, cultuur, recreatie en overige dienstverlening;10;2.43902439
Leraren;Nijverheid en energievoorziening;10;2.43902439
Leraren;Onderwijs;320;78.04878049
Leraren;Openbaar bestuur, overheidsdiensten;10;2.43902439
Leraren;Reparatie van consumentenartikelen;10;2.43902439
Leraren;Uitzendbureaus en uitleenbedrijven;10;2.43902439
Leraren;Vervoer, opslag en communicatie;0;0
Leraren;Zakelijke dienstverlening;20;4.87804878
Techniek;Financiele instellingen;70;3.414634146
Techniek;Gezondheids- en welzijnszorg;30;1.463414634
Techniek;Horeca;0;0
Techniek;Landbouw, bosbouw, visserij;0;0
Techniek;Milieu, cultuur, recreatie en overige dienstverlening;20;0.975609756
Techniek;Nijverheid en energievoorziening;350;17.07317073
Techniek;Onderwijs;290;14.14634146
Techniek;Openbaar bestuur, overheidsdiensten;70;3.414634146
Techniek;Reparatie van consumentenartikelen;70;3.414634146
Techniek;Uitzendbureaus en uitleenbedrijven;50;2.43902439
Techniek;Vervoer, opslag en communicatie;30;1.463414634
Techniek;Zakelijke dienstverlening;1070;52.19512195
Wiskunde, natuurwetenschappen en informatica;Financiele instellingen;50;4.273504274
Wiskunde, natuurwetenschappen en informatica;Gezondheids- en welzijnszorg;80;6.837606838
Wiskunde, natuurwetenschappen en informatica;Horeca;0;0
Wiskunde, natuurwetenschappen en informatica;Landbouw, bosbouw, visserij;0;0
Wiskunde, natuurwetenschappen en informatica;Milieu, cultuur, recreatie en overige dienstverlening;20;1.709401709
Wiskunde, natuurwetenschappen en informatica;Nijverheid en energievoorziening;110;9.401709402
Wiskunde, natuurwetenschappen en informatica;Onderwijs;340;29.05982906
Wiskunde, natuurwetenschappen en informatica;Openbaar bestuur, overheidsdiensten;30;2.564102564
Wiskunde, natuurwetenschappen en informatica;Reparatie van consumentenartikelen;30;2.564102564
Wiskunde, natuurwetenschappen en informatica;Uitzendbureaus en uitleenbedrijven;50;4.273504274
Wiskunde, natuurwetenschappen en informatica;Vervoer, opslag en communicatie;20;1.709401709
Wiskunde, natuurwetenschappen en informatica;Zakelijke dienstverlening;440;37.60683761
